time,lat,lon,hdop,quality
1751795141.7600975,37.6016205,127.0436458,0.74,2
1751795140.8591216,37.60163,127.0436482,0.72,2
1751795139.959211,37.6016397,127.043651,0.72,2
1751795139.0647278,37.6016493,127.0436547,0.69,2
1751795138.266403,37.601658,127.043658,0.69,5
1751795137.4623368,37.6016668,127.0436615,0.69,2
1751795136.4648256,37.6016757,127.0436653,0.69,5
1751795135.666583,37.6016852,127.043668,0.65,5
1751795134.8648343,37.6016945,127.0436703,0.65,5
1751795133.9646218,37.6017035,127.0436723,0.65,5
1751795132.8617444,37.601713,127.0436748,0.65,5
1751795131.8623545,37.6017222,127.0436768,0.65,5
1751795130.964909,37.6017322,127.0436772,0.66,5
1751795129.7667031,37.6017412,127.0436782,0.66,5
1751795128.868488,37.6017503,127.0436823,0.66,5
1751795128.0751927,37.6017593,127.0436853,0.7,5
1751795127.2676232,37.6017685,127.0436875,0.7,5
1751795126.4679384,37.6017775,127.0436898,0.7,5
1751795125.6734698,37.601787,127.0436915,0.7,5
1751795124.8714948,37.6017965,127.0436932,0.7,5
1751795124.0783882,37.6018058,127.0436953,0.7,5
1751795123.2715957,37.6018152,127.0436978,0.75,5
1751795122.4678571,37.6018242,127.0437008,0.7,5
1751795121.6691709,37.6018333,127.0437025,0.7,5
1751795120.5694094,37.601843,127.043704,0.69,5
1751795119.4664867,37.6018525,127.0437035,0.7,5
1751795118.1742356,37.6018618,127.0437072,0.7,5
1751795116.267732,37.60187,127.043713,0.7,5
1751795114.7621908,37.60188,127.0437155,0.7,2
1751795113.9676902,37.6018895,127.0437177,0.7,5
1751795113.0744596,37.601899,127.0437198,0.7,5
1751795112.1685092,37.6019075,127.043724,0.71,5
1751795110.9708843,37.6019162,127.0437278,0.7,5
1751795109.7677824,37.6019248,127.0437323,0.7,5
1751795108.9688735,37.6019345,127.0437363,0.71,2
1751795108.173957,37.6019442,127.04374,0.7,5
1751795107.3677506,37.6019532,127.0437437,0.7,5
1751795106.570716,37.601962,127.0437477,0.7,5
1751795105.7635782,37.6019713,127.0437515,0.7,2
1751795104.9677,37.6019803,127.0437553,0.7,2
1751795104.176675,37.6019895,127.0437598,0.7,5
1751795103.370227,37.6019985,127.0437638,0.7,5
1751795102.567774,37.6020078,127.0437673,0.62,5
1751795101.7670412,37.6020168,127.0437708,0.64,5
1751795101.073531,37.6020253,127.0437747,0.64,2
1751795100.2661483,37.6020343,127.043778,0.63,2
1751795099.4655051,37.6020435,127.0437817,0.62,5
1751795098.6678462,37.6020527,127.0437863,0.65,2
1751795097.8656027,37.6020618,127.0437907,0.63,2
1751795097.072682,37.6020705,127.0437942,0.64,2
1751795096.1718233,37.6020802,127.043797,0.63,5
1751795095.3688154,37.6020895,127.0437997,0.7,2
1751795094.4686527,37.6020988,127.043803,0.7,5
1751795093.6680596,37.6021085,127.0438072,0.7,5
1751795092.8686967,37.6021177,127.0438113,0.7,5
1751795092.076681,37.6021267,127.043815,0.7,5
1751795091.268331,37.6021362,127.0438182,0.7,5
1751795090.4664116,37.602145,127.0438227,0.68,5
1751795089.6737962,37.6021542,127.0438265,0.63,5
1751795088.8725417,37.602163,127.0438305,0.63,5
1751795088.0761042,37.6021718,127.0438355,0.63,5
1751795087.2725785,37.602181,127.043839,0.64,5
1751795086.471672,37.6021902,127.0438437,0.65,5
1751795085.6698537,37.6021993,127.0438463,0.63,5
1751795084.871354,37.6022085,127.0438508,0.64,5
1751795084.0781598,37.6022178,127.043855,0.68,5
1751795083.2687216,37.6022272,127.0438582,0.68,5
1751795082.4700148,37.6022363,127.0438608,0.64,5
1751795081.672887,37.6022455,127.0438645,0.69,5
1751795080.8775218,37.6022548,127.043868,0.64,5
1751795080.0791185,37.6022637,127.0438713,0.6,5
1751795079.2733512,37.6022727,127.0438763,0.58,5
1751795078.47438,37.6022818,127.0438805,0.58,5
1751795077.6723616,37.6022912,127.0438843,0.58,5
1751795076.8726146,37.6023,127.0438893,0.58,5
1751795076.072609,37.6023087,127.0438928,0.59,5
1751795075.272603,37.602318,127.043897,0.58,5
1751795074.4715874,37.6023275,127.0439007,0.58,5
1751795073.6705005,37.602337,127.0439042,0.58,5
1751795072.873433,37.6023465,127.0439073,0.58,5
1751795072.080937,37.6023555,127.0439122,0.61,5
1751795071.2728884,37.6023645,127.043916,0.64,5
1751795070.4752457,37.6023742,127.0439193,0.64,5
1751795069.6733696,37.602383,127.0439218,0.64,5
1751795068.8687365,37.6023922,127.0439245,0.64,5
1751795068.0766592,37.602401,127.0439287,0.64,5
